dateTime,sampleTimeSeconds,LPOPmMid,LPOPm10,ratioPmMid,ratioPm10,concentrationPmMid,concentrationPm2_5,concentrationPm10
2020-08-19 01:39:48.914188,30,9426924,12444896,31.42,41.48,46718.67,46837.91,93556.59
2020-08-19 01:40:18.951464,30,8153116,10883668,27.18,36.28,33406.06,32981.78,66387.84
2020-08-19 01:40:48.973184,30,3501920,6536944,11.67,21.79,7302.46,13604.92,20907.38
2020-08-19 01:41:18.979372,30,2433264,5370176,8.11,17.90,4555.23,9845.55,14400.78
2020-08-19 01:41:49.000874,30,2102488,4477692,7.01,14.93,3836.93,6736.03,10572.97
2020-08-19 01:42:19.022687,30,3567560,6480468,11.89,21.60,7496.88,13051.23,20548.11
2020-08-19 01:42:49.059846,30,7414048,10680048,24.71,35.60,27134.07,36193.11,63327.18
2020-08-19 01:43:19.081641,30,11362848,14197024,37.88,47.32,74015.68,58662.02,132677.70
2020-08-19 01:43:49.103470,30,11632800,14587928,38.78,48.63,78583.51,64194.18,142777.69
2020-08-19 01:44:19.125037,30,6205944,9221184,20.69,30.74,18869.06,25468.77,44337.83
2020-08-19 01:44:49.146970,30,7204528,10108736,24.02,33.70,25532.02,29760.08,55292.10
2020-08-19 01:45:19.184081,30,11575980,14361316,38.59,47.87,77605.54,59253.18,136858.72
2020-08-19 01:45:49.206212,30,11656432,14490724,38.85,48.30,78992.91,61223.96,140216.88
2020-08-19 01:46:19.227934,30,8389180,11762840,27.96,39.21,35624.36,45231.00,80855.35
2020-08-19 01:46:49.249691,30,10201912,13325248,34.01,44.42,56548.14,55447.46,111995.61
2020-08-19 01:47:19.271233,30,2432216,5224248,8.11,17.41,4552.87,9159.73,13712.60
2020-08-19 01:47:49.292873,30,2177744,4570240,7.26,15.23,3995.91,6933.63,10929.54
2020-08-19 01:48:19.314722,30,3369096,6477464,11.23,21.59,6919.14,13610.00,20529.13
2020-08-19 01:48:49.336491,30,3551492,6625420,11.84,22.08,7448.98,14030.96,21479.94
2020-08-19 01:49:19.358153,30,2500604,5283300,8.34,17.61,4708.02,9279.96,13987.98
2020-08-19 01:49:49.379700,30,2123124,4661964,7.08,15.54,3880.28,7411.38,11291.66
2020-08-19 01:50:19.401563,30,3262920,6573412,10.88,21.91,6622.12,14519.81,21141.94
2020-08-19 01:50:49.423193,30,3842244,7112748,12.81,23.71,8348.10,16505.44,24853.54
2020-08-19 01:51:19.444836,30,2146048,4655960,7.15,15.52,3928.65,7339.04,11267.69
2020-08-19 01:51:49.466444,30,2217916,4803732,7.39,16.01,4081.80,7787.09,11868.89
2020-08-19 01:52:19.488176,30,7278540,11207272,24.26,37.36,26089.42,45383.21,71472.63
2020-08-19 01:52:49.509885,30,7496888,11300800,24.99,37.67,27788.30,45205.42,72993.72
2020-08-19 01:53:19.531646,30,7330496,10116300,24.43,33.72,26486.23,28907.08,55393.31
2020-08-19 01:53:49.553456,30,9012332,12052336,30.04,40.17,42014.85,44068.41,86083.26
2020-08-19 01:54:19.575203,30,7694496,11811496,25.65,39.37,29397.58,52319.97,81717.55
2020-08-19 01:54:49.597441,30,4421744,7418928,14.74,24.73,10361.62,16810.66,27172.28
2020-08-19 01:55:19.619257,30,4437896,6850120,14.79,22.83,10422.32,12566.14,22988.45
2020-08-19 01:55:49.655978,30,6027376,8579068,20.09,28.60,17835.17,19652.90,37488.07
2020-08-19 01:56:19.677756,30,7885848,10408496,26.29,34.69,31022.77,28385.20,59407.97
2020-08-19 01:56:49.699341,30,3973052,6722724,13.24,22.41,8775.82,13347.68,22123.51
2020-08-19 01:57:19.721332,30,11443788,14433800,38.15,48.11,75364.45,63368.02,138732.47
2020-08-19 01:57:49.743274,30,11787300,14812388,39.29,49.37,81287.96,67528.41,148816.38
2020-08-19 01:58:19.780204,30,10442656,13549508,34.81,45.17,59890.91,57188.27,117079.18
2020-08-19 01:58:49.802185,30,11169360,13805124,37.23,46.02,70862.74,52208.74,123071.48
2020-08-19 01:59:19.823903,30,9771920,12223292,32.57,40.74,50922.95,38359.77,89282.72
2020-08-19 01:59:49.845579,30,8906416,11174228,29.69,37.25,40872.25,30068.61,70940.87
2020-08-19 02:00:19.867402,30,10214300,12996388,34.05,43.32,56716.74,48112.11,104828.85
2020-08-19 02:00:49.904539,30,10051872,12650164,33.51,42.17,54535.71,43109.12,97644.83
2020-08-19 02:01:19.926566,30,10177028,12389792,33.92,41.30,56210.69,36269.68,92480.38
2020-08-19 02:01:49.948282,30,9304284,11576140,31.01,38.59,45288.27,32319.99,77608.26
2020-08-19 02:02:19.969929,30,6858844,9318444,22.86,31.06,23048.63,22403.11,45451.74
2020-08-19 02:02:49.991601,30,3997616,6643676,13.33,22.15,8857.82,12741.75,21599.57
2020-08-19 02:03:20.013388,30,6111200,8715140,20.37,29.05,18314.90,20553.22,38868.13
2020-08-19 02:03:50.035218,30,7781492,10556120,25.94,35.19,30128.20,31387.54,61515.74
2020-08-19 02:04:20.056795,30,7268948,9975556,24.23,33.25,26016.66,27516.02,53532.68
2020-08-19 02:04:50.078651,30,9411760,11767436,31.37,39.22,46540.01,34396.54,80936.55
2020-08-19 02:05:20.115434,30,8867492,11366856,29.56,37.89,40458.28,33623.83,74082.11
2020-08-19 02:05:50.137416,30,8537176,10709560,28.46,35.70,37070.70,26693.50,63764.20
2020-08-19 02:06:20.159105,30,8650492,11655784,28.83,38.85,38207.75,40773.93,78981.69
2020-08-19 02:06:50.180962,30,9704448,11891936,32.35,39.64,50079.50,33077.88,83157.38
2020-08-19 02:07:20.202847,30,8908236,11177532,29.69,37.26,40891.70,30102.18,70993.88
2020-08-19 02:07:50.224652,30,8724268,10676080,29.08,35.59,38962.07,24306.50,63268.57
2020-08-19 02:08:20.246273,30,8269240,10409488,27.56,34.70,34483.79,24938.17,59421.96
2020-08-19 02:08:50.283210,30,8131104,10408216,27.10,34.69,33204.70,26199.36,59404.06
2020-08-19 02:09:20.304964,30,8810224,11083452,29.37,36.94,39854.93,29639.73,69494.66
2020-08-19 02:09:50.326822,30,8170320,10221084,27.23,34.07,33564.09,23245.14,56809.23
2020-08-19 02:10:20.348388,30,9128208,12016952,30.43,40.06,43292.14,42139.41,85431.55
2020-08-19 02:10:50.370293,30,8657284,10836564,28.86,36.12,38276.75,27393.64,65670.40
2020-08-19 02:11:20.392045,30,8106236,10253372,27.02,34.18,32978.32,24272.52,57250.84
2020-08-19 02:11:50.428794,30,7718756,10568732,25.73,35.23,29599.96,32098.41,61698.36
2020-08-19 02:12:20.450714,30,9055328,12361540,30.18,41.21,42485.48,49446.62,91932.10
2020-08-19 02:12:50.472324,30,6345184,9619204,21.15,32.06,19706.87,29321.79,49028.66
2020-08-19 02:13:20.493979,30,6646888,9970768,22.16,33.24,21620.67,31849.52,53470.20
2020-08-19 02:13:50.515894,30,6537588,9220908,21.79,30.74,20911.51,23423.15,44334.65
2020-08-19 02:14:20.537515,30,6773888,9012700,22.58,30.04,22467.81,19551.06,42018.87
2020-08-19 02:14:50.559455,30,10760888,13477976,35.87,44.93,64529.65,50910.59,115440.24
2020-08-19 02:15:20.581396,30,11010232,13772312,36.70,45.91,68343.98,53946.31,122290.30
2020-08-19 02:15:50.618055,30,11344160,14033944,37.81,46.78,73706.78,54911.28,128618.06
2020-08-19 02:16:20.640037,30,10889872,14091228,36.30,46.97,66482.73,63551.12,130033.84
2020-08-19 02:16:50.661990,30,11068884,13955732,36.90,46.52,69264.63,57438.01,126702.64
2020-08-19 02:17:20.683971,30,11509332,14211440,38.36,47.37,76469.66,56571.24,133040.91
2020-08-19 02:17:50.720576,30,10733612,13607088,35.78,45.36,64122.11,54288.42,118410.53
